Anime_id,Title,Genre,Type,Producer,Studio,Rating,ScoredBy,Popularity,Members,Episodes,Source,Aired,Link,,,,,
1,Cowboy Bebop,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi', 'Space']",TV,['Bandai Visual'],['Sunrise'],8.81,363889,39,704490,26,Original,"Apr 3, 1998 to Apr 24, 1999",https://myanimelist.net/anime/1/Cowboy_Bebop,,,,,
5,Cowboy Bebop: Tengoku no Tobira,"['Action', 'Space', 'Drama', 'Mystery', 'Sci-Fi']",Movie,"['Sunrise', 'Bandai Visual']",['Bones'],8.41,111187,475,179899,1,Original,1-Sep-01,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,,,,,
6,Trigun,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Shounen']",TV,['Victor Entertainment'],['Madhouse'],8.31,197451,158,372709,26,Manga,"Apr 1, 1998 to Sep 30, 1998",https://myanimelist.net/anime/6/Trigun,,,,,
7,Witch Hunter Robin,"['Action', 'Magic', 'Police', 'Supernatural', 'Drama', 'Mystery']",TV,['Bandai Visual'],['Sunrise'],7.34,31875,1278,74889,26,Original,"Jul 2, 2002 to Dec 24, 2002",https://myanimelist.net/anime/7/Witch_Hunter_Robin,,,,,
8,Bouken Ou Beet,"['Adventure', 'Fantasy', 'Shounen', 'Supernatural']",TV,,['Toei Animation'],7.04,4757,3968,11247,52,Manga,"Sep 30, 2004 to Sep 29, 2005",https://myanimelist.net/anime/8/Bouken_Ou_Beet,,,,,
15,Eyeshield 21,"['Action', 'Sports', 'Comedy', 'Shounen']",TV,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Shueisha']",['Studio Gallop'],8.05,48765,888,106468,145,Manga,"Apr 6, 2005 to Mar 19, 2008",https://myanimelist.net/anime/15/Eyeshield_21,,,,,
16,Hachimitsu to Clover,"['Comedy', 'Drama', 'Josei', 'Romance', 'Slice of Life']",TV,"['Genco', 'Fuji TV', 'Shueisha']",['J.C.Staff'],8.14,54367,578,160236,24,Manga,"Apr 15, 2005 to Sep 27, 2005",https://myanimelist.net/anime/16/Hachimitsu_to_Clover,,,,,
17,Hungry Heart: Wild Striker,"['Slice of Life', 'Comedy', 'Sports', 'Shounen']",TV,,['Nippon Animation'],7.69,8868,3330,16132,52,Manga,"Sep 11, 2002 to Sep 10, 2003",https://myanimelist.net/anime/17/Hungry_Heart__Wild_Striker,,,,,
18,Initial D Fourth Stage,"['Action', 'Cars', 'Sports', 'Drama', 'Seinen']",TV,"['OB Planning', 'Studio Jack']",['A.C.G.T.'],8.24,37575,1228,64338,24,Manga,"Apr 17, 2004 to Feb 18, 2006",https://myanimelist.net/anime/18/Initial_D_Fourth_Stage,,,,,
19,Monster,"['Drama', 'Horror', 'Mystery', 'Police', 'Psychological', 'Seinen', 'Thriller']",TV,"['VAP', 'Shogakukan Productions', 'Nippon Television Network']",['Madhouse'],8.69,118553,159,352153,74,Manga,"Apr 7, 2004 to Sep 28, 2005",https://myanimelist.net/anime/19/Monster,,,,,
